datetime,type,description
2025-12-12 11:27:06,Comanda,Enviada ordre: seguir -> radar
2025-12-12 11:27:06,Comanda,Enviada ordre: stop -> radar
2025-12-12 11:27:08,Alarma,Codi 3: Perduda Conexió
2025-12-12 11:27:09,Alarma,Codi 3: Perduda Conexió
2025-12-12 11:27:11,Alarma,Codi 3: Perduda Conexió
2025-12-12 11:27:13,Alarma,Codi 3: Perduda Conexió
2025-12-12 11:27:15,Alarma,Codi 3: Perduda Conexió
2025-12-12 11:27:16,Alarma,Codi 3: Perduda Conexió
2025-12-12 11:27:18,Alarma,Codi 3: Perduda Conexió
2025-12-12 11:27:20,Alarma,Codi 3: Perduda Conexió
2025-12-12 11:27:21,Alarma,Codi 3: Perduda Conexió
2025-12-12 11:27:23,Alarma,Codi 3: Perduda Conexió
2025-12-12 11:27:25,Alarma,Codi 3: Perduda Conexió
2025-12-12 11:30:05,Comanda,Enviada ordre: seguir -> radar
2025-12-12 11:30:05,Comanda,Enviada ordre: stop -> radar
2025-12-12 11:30:05,Alarma,Codi 3: Perduda Conexió
2025-12-12 11:30:05,Alarma,Codi 3: Perduda Conexió
2025-12-12 11:30:05,Alarma,Codi 3: Perduda Conexió
2025-12-12 11:30:05,Alarma,Codi 3: Perduda Conexió
2025-12-12 11:30:08,Alarma,Codi 3: Perduda Conexió
2025-12-12 11:30:09,Alarma,Codi 3: Perduda Conexió
2025-12-12 11:46:42,Comanda,Enviada ordre: seguir -> radar
2025-12-12 11:46:42,Comanda,Enviada ordre: stop -> radar
2025-12-12 11:53:49,Comanda,Enviada ordre: seguir -> radar
2025-12-12 11:53:49,Comanda,Enviada ordre: stop -> radar
2025-12-12 11:53:50,Alarma,Codi 3: Perduda Conexió
2025-12-12 11:53:50,Alarma,Codi 3: Perduda Conexió
2025-12-12 12:01:46,Comanda,Enviada ordre: seguir -> radar
2025-12-12 12:01:46,Comanda,Enviada ordre: stop -> radar
2025-12-12 12:02:34,Comanda,Enviada ordre: seguir -> radar
2025-12-12 12:22:10,Comanda,Enviada ordre: seguir -> radar
2025-12-12 12:22:10,Comanda,Enviada ordre: stop -> radar
2025-12-12 12:22:11,Alarma,Codi 3: Perduda Conexió
2025-12-12 12:22:11,Alarma,Codi 3: Perduda Conexió
